Index,O2,cellularity,theta_sc,degdiff,fraction 1,fraction 2,fraction 3,fraction 4,fraction 5,fraction 6,fraction 7,fraction 8,fraction 9,fraction 10,fraction 11,fraction 12,fraction 13,fraction 14,fraction 15,fraction 16,fraction 17,fraction 18,fraction 19,fraction 20,fraction 21,fraction 22,fraction 23
1,0.284898252,0.36099017,0.78784893,0.573340808,0.499096224,0.313558796,0.014515299,0.891824631,0.034980573,0.09262376,0.006901716,0.810045701,0.126328027,0.461716864,0.828439134,0.10938148,0.539931946,0.80652333,0.312583202,0.528992883,0.888232094,0.068228831,0.039222105,0.285729068,0.71489605,0.618021634,0.714607277
2,0.228545827,0.482821315,0.47238273,0.758724676,0.7423743,0.575926923,0.370969738,0.983700691,0.626023896,0.57846439,0.307170678,0.50980493,0.058907639,0.929073777,0.843918818,0.85751595,0.686706035,0.308856113,0.235043877,0.99581702,0.025256576,0.719669263,0.77905043,0.300540111,0.83461674,0.199967168,0.934621414
3,0.440836641,0.385958125,0.299060853,0.221994302,0.364089966,0.499909238,0.456798214,0.527968437,0.768847613,0.294677533,0.834328403,0.677664927,0.214468008,0.72365887,0.446464497,0.751707887,0.436373888,0.384029771,0.255678007,0.022768499,0.927359812,0.831526427,0.885143262,0.829621146,0.940185309,0.161623143,0.18163296
4,0.434753417,0.807445332,0.660450369,0.610333907,0.97165672,0.796650882,0.782971052,0.816142082,0.609263544,0.626338379,0.54526528,0.832338459,0.470869151,0.00635648,0.45816517,0.814658746,0.176577038,0.787758299,0.319260639,0.168509454,0.581305072,0.831845895,0.13313626,0.742450995,0.700790268,0.563625233,0.963043715
5,0.329351168,0.48194244,0.405670154,0.347222512,0.862184496,0.322014686,0.946433532,0.526891941,0.48421796,0.727714277,0.789310929,0.611141275,0.177489852,0.728377078,0.127366247,0.025917387,0.406551926,0.10816347,0.18021528,0.211520356,0.202085574,0.177254697,0.054498353,0.335718527,0.341067969,0.621924549,0.215258073
6,0.285355755,0.858114327,0.594137374,0.032155948,0.052533441,0.284372802,0.704623241,0.65680703,0.712483165,0.068789213,0.013562666,0.927491767,0.075569638,0.388677965,0.170102256,0.313803126,0.31879364,0.970028592,0.593003335,0.005181513,0.018513149,0.752539515,0.935777177,0.314054276,0.833019049,0.879829547,0.359284646
7,0.071043703,0.500984209,0.312319748,0.029265031,0.720555429,0.059534796,0.662364904,0.677271173,0.289618299,0.962289002,0.303113934,0.464249335,0.32003899,0.731036064,0.579340416,0.976220496,0.20780055,0.413380692,0.843379387,0.885526162,0.649783707,0.65671505,0.623282478,0.121518789,0.551636725,0.955267694,0.316608746
8,0.356515713,0.584492478,0.821486179,0.737400841,0.257353757,0.794296459,0.871950561,0.523627199,0.975787508,0.734985305,0.167062709,0.068310124,0.042969759,0.564096693,0.947026593,0.019090261,0.091599639,0.953039097,0.353749607,0.162886725,0.397353368,0.363350857,0.204351091,0.732548902,0.059542257,0.937573642,0.001043696
9,0.042691643,0.947558882,0.202945949,0.60985248,0.681457633,0.691269675,0.346399012,0.570862872,0.762221584,0.325154255,0.157236725,0.783322948,0.252826763,0.588081238,0.414970548,0.842337784,0.329188069,0.140713298,0.689173252,0.508088182,0.71787835,0.478291438,0.285189105,0.906608688,0.481969018,0.607357613,0.663396922
10,0.089330079,0.527375482,0.671512514,0.721059349,0.604466295,0.314338163,0.717087093,0.197311817,0.929742893,0.33981804,0.578577544,0.03594743,0.00210362,0.3253945,0.647695517,0.167991828,0.830694796,0.608140206,0.048190747,0.958178851,0.05531039,0.631724572,0.651287913,0.410866531,0.33741282,0.631647339,0.614912131
