Index,O2,cellularity,theta_sc,degdiff,fraction 1,fraction 2,fraction 3,fraction 4,fraction 5,fraction 6,fraction 7,fraction 8,fraction 9,fraction 10,fraction 11,fraction 12,fraction 13,fraction 14,fraction 15,fraction 16,fraction 17,fraction 18,fraction 19,fraction 20,fraction 21,fraction 22,fraction 23
8,0.356515713,0.584492478,0.821486179,0.737400841,0.257353757,0.794296459,0.871950561,0.523627199,0.975787508,0.734985305,0.167062709,0.068310124,0.042969759,0.564096693,0.947026593,0.019090261,0.091599639,0.953039097,0.353749607,0.162886725,0.397353368,0.363350857,0.204351091,0.732548902,0.059542257,0.937573642,0.001043696
9,0.042691643,0.947558882,0.202945949,0.60985248,0.681457633,0.691269675,0.346399012,0.570862872,0.762221584,0.325154255,0.157236725,0.783322948,0.252826763,0.588081238,0.414970548,0.842337784,0.329188069,0.140713298,0.689173252,0.508088182,0.71787835,0.478291438,0.285189105,0.906608688,0.481969018,0.607357613,0.663396922
10,0.089330079,0.527375482,0.671512514,0.721059349,0.604466295,0.314338163,0.717087093,0.197311817,0.929742893,0.33981804,0.578577544,0.03594743,0.00210362,0.3253945,0.647695517,0.167991828,0.830694796,0.608140206,0.048190747,0.958178851,0.05531039,0.631724572,0.651287913,0.410866531,0.33741282,0.631647339,0.614912131
11,0.116753095,0.832576143,0.819258946,0.18406368,0.389201544,0.268580966,0.19574008,0.597556134,0.512161833,0.666505265,0.297012422,0.525573739,0.332959712,0.990295248,0.559881215,0.119693594,0.400425452,0.618492097,0.835918179,0.811439932,0.308922171,0.821334246,0.084859319,0.939524425,0.05018027,0.380321139,0.473314098
12,0.412345474,0.748699612,0.47145104,0.030551609,0.649776749,0.392574425,0.803366788,0.799727431,0.962652322,0.923297422,0.372419221,0.186501578,0.240793072,0.819887116,0.992152857,0.506583712,0.788974671,0.507645483,0.718458854,0.459213713,0.771047528,0.653303269,0.250080981,0.685833835,0.05181059,0.031164666,0.243304082
13,0.160175207,0.612379765,0.54840875,0.051293825,0.045958503,0.475265286,0.299331955,0.067179075,0.925045363,0.44351824,0.51043674,0.49619424,0.474197216,0.57493255,0.216946424,0.556254957,0.956373871,0.21156664,0.097785928,0.533383273,0.258556063,0.108618736,0.228434285,0.476427553,0.071649427,0.592528332,0.261154209
14,0.263923616,0.895131293,0.579718753,0.515241596,0.073319539,0.158308837,0.935855452,0.722238207,0.890902189,0.944512518,0.517417563,0.795980407,0.740609989,0.98496246,0.557725542,0.290807016,0.923251051,0.21745031,0.716721938,0.039736912,0.895579621,0.027494897,0.492801696,0.846180304,0.928218016,0.726821148,0.954300924
15,0.422667102,0.259309286,0.193791021,0.678731972,0.436360619,0.374752619,0.459598111,0.958437174,0.442141114,0.91305941,0.787920597,0.202333918,0.331421129,0.460839476,0.545170092,0.530249867,0.271922454,0.53653443,0.829689773,0.30952173,0.246393771,0.992958441,0.88790546,0.425961372,0.155599018,0.680586341,0.297605916
16,0.333614261,0.835905535,0.39798443,0.29819031,0.075634011,0.838086755,0.899600098,0.371501842,0.464463742,0.75119977,0.996446953,0.095610607,0.153569897,0.673297342,0.475794992,0.363752106,0.514464387,0.775657459,0.962353729,0.565965342,0.416735966,0.695261137,0.395539906,0.647068119,0.115487713,0.452949651,0.889673876
17,0.198598323,0.602213852,0.585534116,0.69817178,0.943486743,0.288802412,0.74270615,0.393485069,0.564004349,0.682160775,0.886990731,0.220431884,0.554140963,0.460555505,0.351105763,0.560425641,0.073805759,0.374704927,0.588792416,0.159071408,0.657866495,0.589917208,0.676023549,0.522619577,0.225449141,0.895653827,0.293054695
18,0.215206513,0.610907663,0.229780807,0.646426827,0.900101674,0.636911091,0.346709119,0.075654486,0.66298901,0.819768714,0.901678463,0.161569818,0.691362869,0.019077403,0.102110778,0.507607377,0.494627156,0.935196171,0.152553252,0.888539525,0.520406325,0.891642016,0.206092364,0.42855966,0.979454874,0.301109045,0.73594568
19,0.065475629,0.330209287,0.364593694,0.145295502,0.783885163,0.852272257,0.231286224,0.766037346,0.461900979,0.058048869,0.526653867,0.559500243,0.233473564,0.477328627,0.101641546,0.225415142,0.432753949,0.553357465,0.935090293,0.172810118,0.702198554,0.889098162,0.789741168,0.993112396,0.847675669,0.75755366,0.011272197
20,0.122844384,0.419072721,0.336797299,0.036619949,0.851991734,0.16021521,0.323279327,0.00990718,0.324739242,0.598160062,0.010592618,0.07533875,0.608516912,0.817605537,0.03178883,0.566402516,0.73595551,0.110122351,0.530415691,0.571073041,0.358063396,0.67596513,0.239532261,0.943987722,0.797348523,0.769042251,0.885954974
21,0.247997013,0.517563136,0.751625416,0.319124329,0.056334537,0.477692265,0.950686291,0.203590099,0.705722039,0.537351129,0.438858467,0.314565713,0.542084469,0.240941877,0.336057328,0.925778437,0.681598895,0.913221554,0.88317137,0.239977632,0.753513053,0.313808332,0.613425401,0.926890639,0.358985032,0.217260008,0.65183966
