Index,O2,cellularity,theta_sc,degdiff,fraction 1,fraction 2,fraction 3,fraction 4,fraction 5,fraction 6,fraction 7,fraction 8,fraction 9,fraction 10,fraction 11,fraction 12,fraction 13,fraction 14,fraction 15,fraction 16,fraction 17,fraction 18,fraction 19,fraction 20,fraction 21,fraction 22,fraction 23
501,0.106836782,0.323681575,0.531010153,0.553136786,0.659687786,0.892897965,0.032775422,0.263580966,0.89665838,0.139792635,0.426692969,0.188463058,0.826149896,0.46861919,0.360883493,0.264044822,0.693620291,0.932272229,0.026207419,0.240100812,0.539649434,0.650722185,0.723484702,0.704473953,0.920818823,0.419696333,0.680041865
502,0.252181666,0.581502625,0.620401734,0.277141199,0.469967955,0.100992831,0.214882038,0.354482075,0.294412196,0.258990413,0.106378259,0.069482973,0.512852389,0.218696268,0.165758516,0.860494769,0.058468378,0.159295092,0.531381416,0.721788536,0.551537284,0.001891489,0.114581019,0.338770759,0.637382907,0.019095744,0.763195399
503,0.371706778,0.231549831,0.276204113,0.740914556,0.850411202,0.62251578,0.89132078,0.979364169,0.541254743,0.036960217,0.06187434,0.090934348,0.637241172,0.196124511,0.689662271,0.413007694,0.68835762,0.997464772,0.543376096,0.013288908,0.807667585,0.123639267,0.317641705,0.495634138,0.039832541,0.93730653,0.209389562
504,0.073182817,0.808576791,0.466365093,0.182667659,0.866044268,0.738120081,0.809479457,0.1226309,0.770258425,0.944155776,0.116184604,0.200605183,0.864907825,0.332043917,0.958836092,0.089561275,0.396632089,0.895149817,0.540652376,0.349218667,0.155549706,0.322102752,0.659945595,0.922492119,0.622700829,0.762770401,0.277439351
505,0.4173679,0.550409065,0.232003551,0.781777802,0.05677113,0.16294769,0.294802589,0.389259386,0.016409655,0.314895129,0.630203191,0.658370916,0.217948988,0.512293654,0.971333267,0.369979118,0.590908145,0.481065674,0.379748865,0.074724302,0.031389943,0.935910457,0.463630516,0.140544796,0.339985942,0.26380602,0.240935858
506,0.100895455,0.230228816,0.73696871,0.521466823,0.424783654,0.603029523,0.847867494,0.079236679,0.41038566,0.869336707,0.491318964,0.93393227,0.466805991,0.657397137,0.757646735,0.71439397,0.529740969,0.575858735,0.275352816,0.807744701,0.789863864,0.307525665,0.289913811,0.020934693,0.086810155,0.415932037,0.399217911
507,0.419761521,0.466091708,0.816859683,0.655816104,0.736276141,0.836010111,0.445152599,0.547819735,0.813739894,0.174485057,0.721568414,0.393372846,0.911699628,0.629613507,0.962790135,0.308816636,0.249287574,0.978000162,0.130960579,0.545564084,0.443332082,0.578340767,0.340362528,0.598753971,0.47365754,0.211982766,0.742891311
508,0.137517961,0.876905051,0.094021919,0.699176708,0.55096793,0.874168458,0.133445161,0.364910693,0.84817791,0.767884088,0.543104753,0.302026147,0.215308041,0.161015759,0.205108512,0.756701812,0.230510044,0.205177657,0.997975907,0.552594688,0.62737491,0.166479605,0.350525979,0.560393705,0.139063024,0.867592991,0.395179362
509,0.088484144,0.263772752,0.137483802,0.186708444,0.017865537,0.958983634,0.440484641,0.567324848,0.998685714,0.702268062,0.880430417,0.504064388,0.884592194,0.412323012,0.975486625,0.627717181,0.942158269,0.860867752,0.686614968,0.321478998,0.011530576,0.35039111,0.35910046,0.795511792,0.549633203,0.703905778,0.603785804
510,0.080601304,0.609469361,0.588491315,0.578293962,0.804776559,0.931745,0.756198046,0.127488504,0.874701532,0.375477642,0.81175992,0.687813172,0.507338252,0.470685482,0.546549733,0.650286442,0.757429919,0.529107075,0.328120739,0.791939541,0.741032898,0.463351313,0.706235743,0.115399963,0.677004176,0.262473666,0.237277003
511,0.153168059,0.914686283,0.520729991,0.457144476,0.131814471,0.978752835,0.686685049,0.737714171,0.70089797,0.513226775,0.43970829,0.594017252,0.172087524,0.113876847,0.013792913,0.096084645,0.344078603,0.325287432,0.511768058,0.265304975,0.17984719,0.162340074,0.813954835,0.828076077,0.513699053,0.565527312,0.051873095
512,0.184284182,0.78989379,0.743993177,0.364340205,0.150486291,0.250887189,0.219501658,0.528855146,0.377966866,0.640865617,0.295736916,0.256698984,0.768793147,0.808093112,0.26595468,0.941093825,0.629845718,0.795728806,0.64511937,0.208217051,0.760514183,0.62545785,0.803409701,0.002953624,0.913434819,0.049739052,0.706201568
513,0.329740878,0.57912369,0.082711928,0.120879662,0.914989701,0.416642783,0.149562414,0.951054027,0.610220101,0.239796427,0.314509421,0.686742943,0.377703039,0.545733439,0.943529718,0.188785145,0.642931015,0.942479993,0.758794318,0.158054616,0.065320251,0.278063621,0.921685135,0.979603762,0.495770283,0.740230587,0.307271892
514,0.15493875,0.85512601,0.592738472,0.081887529,0.709567288,0.895592644,0.980973334,0.970623743,0.296712251,0.081459059,0.39673614,0.407097544,0.95394563,0.180000509,0.01996166,0.587562305,0.212228513,0.807653738,0.40908803,0.327135441,0.165187303,0.647701049,0.009547087,0.199373155,0.199577646,0.843777398,0.738431439
515,0.389044747,0.495407449,0.088738258,0.049964117,0.14930016,0.761432018,0.514958523,0.224850711,0.197550226,0.716770314,0.813154502,0.10734224,0.430650712,0.099382509,0.897909339,0.669215301,0.599038632,0.361422336,0.113984217,0.961397987,0.324052763,0.247722849,0.518238,0.41986944,0.432065153,0.44320614,0.608794286
516,0.191813339,0.835423615,0.094837519,0.204139407,0.710020931,0.886900118,0.152538219,0.898616163,0.11023365,0.603449025,0.31938691,0.134331997,0.094377901,0.365490672,0.263984659,0.443899092,0.884147067,0.155446327,0.171980435,0.304013601,0.259379638,0.130037222,0.87211619,0.72534413,0.575962275,0.237384992,0.043786436
517,0.10253408,0.56994554,0.156680698,0.485173452,0.777014431,0.091667784,0.206045395,0.793869408,0.444287849,0.402741199,0.381295784,0.946261079,0.372511267,0.714784954,0.24074538,0.130195022,0.71886577,0.057396975,0.928213647,0.206145867,0.621532752,0.027716326,0.843096627,0.443604277,0.189646919,0.407481286,0.413080849
518,0.110876532,0.213290347,0.624032303,0.000166236,0.748095078,0.867926468,0.906619395,0.873145764,0.186642826,0.923351365,0.547973436,0.822388259,0.738331172,0.039243485,0.644618078,0.24923819,0.834106147,0.596778445,0.636382941,0.949962214,0.480487133,0.621318816,0.59521348,0.901549689,0.103570815,0.864028437,0.999787725
519,0.443722249,0.644309887,0.521431202,0.612805141,0.139865044,0.333434231,0.088706507,0.357338719,0.84459485,0.138911594,0.62939619,0.818331828,0.305464689,0.433802549,0.087943657,0.464753288,0.866966322,0.409563653,0.662635665,0.843240543,0.666601093,0.357487343,0.106421009,0.744449035,0.516707675,0.772891041,0.958104142
520,0.261597929,0.743769014,0.071540878,0.716350154,0.299543841,0.353208639,0.221594079,0.50570743,0.658647135,0.893665893,0.712798433,0.439856981,0.446471109,0.797267401,0.108479503,0.030514984,0.830997906,0.436142906,0.025612507,0.561650385,0.620127801,0.415508836,0.440147952,0.198210419,0.21989556,0.19722763,0.665431129
521,0.151774407,0.606598168,0.207129266,0.401556744,0.480907554,0.05284134,0.246222323,0.77710107,0.865626721,0.777672917,0.632977699,0.086441981,0.081575877,0.412986402,0.466248032,0.246295467,0.86644697,0.963161476,0.651153717,0.6864431,0.51982994,0.355524914,0.620989195,0.599181745,0.898480453,0.406414767,0.828366398
522,0.38977362,0.218598731,0.461137382,0.029827417,0.458647237,0.899029073,0.185587418,0.269409851,0.006112871,0.489322107,0.599952072,0.322886724,0.73664632,0.242658234,0.46540237,0.735021445,0.498300788,0.80992991,0.785124581,0.709729842,0.720941056,0.206546428,0.200633898,0.271680236,0.074043779,0.787867675,0.474027944
523,0.132908781,0.290151406,0.400652996,0.499767419,0.646932535,0.481482882,0.067304075,0.845658351,0.895206256,0.264449077,0.96495494,0.890595259,0.633234011,0.876550759,0.423883182,0.062633375,0.33689608,0.329110424,0.271892355,0.912361942,0.032902523,0.205633985,0.21121979,0.122644028,0.77433553,0.871215125,0.515569537
524,0.344962904,0.397258666,0.284510234,0.211817589,0.372701336,0.831537511,0.387218131,0.684531191,0.902832742,0.732359777,0.218945133,0.336283085,0.05917457,0.235701219,0.992783373,0.581723842,0.203196576,0.81741131,0.898221115,0.75317756,0.848094624,0.622612242,0.157688539,0.783280531,0.135842403,0.946920017,0.175684208
525,0.222921039,0.944635717,0.407629627,0.780786725,0.126868827,0.784376054,0.967180269,0.898256553,0.074837451,0.945645912,0.386395419,0.530732747,0.881910279,0.301978365,0.823622851,0.663412234,0.740203802,0.345365058,0.601500657,0.310186192,0.380847158,0.017907938,0.603813828,0.246519735,0.530240074,0.874100792,0.49941106
526,0.178411669,0.477027315,0.375446373,0.763088351,0.806343847,0.388960951,0.78407559,0.437175387,0.33334977,0.77191619,0.302322908,0.02512917,0.061167099,0.165685331,0.558444008,0.158234563,0.511574304,0.141743847,0.145367786,0.029868614,0.560689936,0.335528825,0.457493442,0.54611695,0.813604196,0.185036553,0.352336894
527,0.099280117,0.921703006,0.257563525,0.596726692,0.719615476,0.954867111,0.494836351,0.061114302,0.861974211,0.241458723,0.820093686,0.897001658,0.567333834,0.506510246,0.625289152,0.942635085,0.041222253,0.554279588,0.491937104,0.809268541,0.746428791,0.781129756,0.093179769,0.676242618,0.500520982,0.165897807,0.030509873
528,0.401261094,0.516715621,0.490506514,0.287639528,0.700296026,0.999635173,0.974750657,0.378190227,0.707440322,0.379898548,0.963805217,0.244010586,0.112305339,0.742924342,0.277112834,0.554068078,0.386078083,0.88475072,0.916084128,0.1167766,0.069913989,0.805274699,0.874742092,0.717878892,0.041519091,0.341937581,0.050561627
529,0.414367131,0.901585392,0.768066374,0.062423841,0.74033075,0.537863198,0.009622788,0.404615271,0.801698446,0.424021816,0.395096814,0.301600914,0.971333238,0.596952184,0.675789909,0.884921874,0.84170135,0.109007408,0.219024522,0.819426097,0.68608979,0.575134167,0.335129337,0.153109196,0.456861276,0.830492364,0.554206803
530,0.182101063,0.662243914,0.438776204,0.199866354,0.80937123,0.228561404,0.324546635,0.293808316,0.126334529,0.935101203,0.328542648,0.307124865,0.158084976,0.716162664,0.506775209,0.256973076,0.469649412,0.144651604,0.075517071,0.737439067,0.899983054,0.801274808,0.899504872,0.379089264,0.727351028,0.330460318,0.577526252
